"filename", "language", "Markdown", "XML", "TypeScript JSX", "TypeScript", "JSON", "CSS", "C#", "JSON with Comments", "HTML", "JavaScript", "MS SQL", "YAML", "comment", "blank", "total"
"c:\utv\Henry\MappingTool\.config\dotnet-tools.json", "JSON", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\Controllers\DevAuthController.cs", "C#", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 9, 65
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\Controllers\MappingsController.cs", "C#", 0, 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 5, 70, 422
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\Controllers\SchemasController.cs", "C#", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 20, 19, 134
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\Controllers\SystemsController.cs", "C#", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 10, 66
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\IntegrationMapper.Api.csproj", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 10, 18, 134
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\appsettings.Development.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\utv\Henry\MappingTool\IntegrationMapper.Api\appsettings.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
